Image_Key,Canton,Latitude,Longitude,Camera_Angle,Sequence_Key,Captured_At,Panorama
KGnAPkN-XXQUVFxMtn9xaw,LU,47.1407823,8.192068,127.723,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
N4bjq-jyqEeGF6oPgj10eA,LU,47.1399585,8.1935312,122.759,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
W8Mt0ONk4YxAeWri5spC5w,LU,47.139072,8.1951577,136.587,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
OQ3QkXiJzM-fldMrGjvaTA,LU,47.1381469,8.1965926,134.273,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
dRZKwEQgFYbJrBaVFVIYLg,LU,47.1373112,8.1979515,128.299,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
CY8EwP_ZKJoaWgW5Op7HNw,LU,47.1363767,8.1995915,129.795,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
L_EzStnsfggy3xNLLCjl4Q,LU,47.1356139,8.201206,122.211,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
qmDy7027EW0b1jA-LB7q6A,LU,47.1348558,8.2029343,114.782,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
xkVeFnvZq_ETvTyCD_dQlQ,LU,47.1342147,8.2048639,112.191,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
Mj_ogezF7QCJALI_1_LXVQ,LU,47.1336737,8.2069052,111.204,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
Mu_JYtQB0byTjzEbUjJmpA,LU,47.1330906,8.2089,114.118,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
0VoEeRYVTLcI1qwDNtz4hQ,LU,47.1323807,8.210871,119.64,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
Y48kJOMLP4zkp1X4HSSM2w,LU,47.1315361,8.2127175,125.041,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
hhdrQxwmzSayPcyFKbivlg,LU,47.130627,8.2144399,135.275,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
D8zlmLvbi5w2IMfIbUOL9Q,LU,47.1295591,8.2161061,136.449,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
QcR1sZsAh0LvOZVvVOwOFA,LU,47.1284428,8.2174929,135.936,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
Jigs5k6BbvuWYI5SyQodhg,LU,47.1272953,8.2189075,135.678,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
55w2pn1cDrSMNjueo4eM1A,LU,47.1261029,8.220155,144.274,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
wIekRZyRr3AgVni2LGip1g,LU,47.1249398,8.221351,146.933,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
ZDwyZw5PWWJl7KCnTdIdUw,LU,47.123848,8.2223137,147.894,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
wE9FL_hXeAKnUG19Rmo8cQ,LU,47.1224583,8.2234135,145.095,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
TdQyGmBSxbk7eP_dgVhmCQ,LU,47.1211202,8.2243681,155.56,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
eVLr-EhUyl30F-NyuBqkmQ,LU,47.1198073,8.2254212,156.731,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
9KgukJxoqHC8LvkNilHGxA,LU,47.1184556,8.226341,154.175,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
tEWL0_ewdAPsKwloOo0LiA,LU,47.1170578,8.2273633,150.53,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
mAuidBbV7l1eRi1cI9pzyQ,LU,47.1158786,8.2284898,152.429,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
WQ-98g-T6BL-SxlZdjeq3w,LU,47.1143905,8.2297205,147.331,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
A7sy2x2ibhvNjodavmD96Q,LU,47.1130739,8.2309921,147.166,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
Q4Yjo_UvO4AEKOmaEcJT4Q,LU,47.1118919,8.2325171,133.256,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
CDPkyIMhInJK1IzuJZjmyw,LU,47.1107884,8.2342272,127.953,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
pUcjzea0_WoPO_RaxaPJYA,LU,47.109842,8.2360304,130.057,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
odGjYrllkQZDJVx5RZ_oow,LU,47.1090177,8.2376718,130.933,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
l1JlsEepBQT7tzuoclU50w,LU,47.1079386,8.2395907,131.175,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
tRtvXImx-_cOrATVcifUvg,LU,47.1068072,8.2411636,142.122,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
2dTMvnvBWGCMq2VpMh9bVQ,LU,47.1055998,8.2424441,153.014,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
VliX_CHKmCqojXjfeSGA-Q,LU,47.1043313,8.2435058,152.956,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
62PE1OC9M5_RuOUKSC1qMA,LU,47.1032403,8.2442832,153.287,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
9cAC7k7XdGBUJyUPpoBJGQ,LU,47.1020519,8.244865,166.483,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
jFaiZoMNOhmY-rm692x1Yw,LU,47.1005591,8.2454693,169.365,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
NeqU29fvBZOo6X6Twr4bjQ,LU,47.0992675,8.2457429,177.986,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
RTBi_XtDRI4j-0OYTDZDog,LU,47.0977499,8.2457716,179.864,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
nSJAHUmQEQMEQ7p9aklMxA,LU,47.0964934,8.2458991,173.712,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
bjkFZg0wPmwJI_dHQ7xp7Q,LU,47.0950287,8.2462816,164.174,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
35-r79WLcmjxGpqEs2Zf-w,LU,47.0935301,8.2468667,155.301,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
n_cJOPXoJ__F1c5pqZgdpQ,LU,47.092437,8.2476048,150.902,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
fQb8_Klyx85VfaEN1_mHbQ,LU,47.0911576,8.2487424,146.908,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
h2WBaIh1-KcxzJ9V5loFDQ,LU,47.0899427,8.2501157,138.694,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
7Hrw6F75R2ooGE4eClBCGw,LU,47.0888923,8.2515767,126.603,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
RjBeDRzaYDxzYQCXeBkaYw,LU,47.087789,8.2532241,136.58,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
TURZbKA8Zt8gOvhLJm007A,LU,47.0866838,8.2548132,130.661,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
xaZwM9774I0mXML41Q4ELg,LU,47.0855947,8.2561813,139.27,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
AS_FL5_JRCcl0pf-Owjb6A,LU,47.0846757,8.257478,133.787,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
K5_JUgQ836aHTEf2Ph2Prw,LU,47.0837683,8.2588648,127.126,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
egxeB4QxZG9O5Bh6LiUfbw,LU,47.0831601,8.2603186,111.905,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
bu3NCbHlDR6PRDwGkco0UA,LU,47.0827032,8.2618852,110.16,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
r7Wv7ejLjIrPDSrHKqf1Rg,LU,47.0824983,8.2635567,95.5436,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
iZJ6HqRV4ZA6ewtQMv-_QA,LU,47.0825366,8.2653314,82.4162,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
jGLzES16TEJrnXSRIaAz6w,LU,47.0829044,8.2671675,66.5056,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
whR7A73s9bEEHSw0prZkUw,LU,47.0832767,8.2687482,74.9524,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
MLlChQ4hVNcydzdtDH-vfw,LU,47.0836446,8.2706456,82.3747,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
29PfxFJ9gfvT-KRAtxXePg,LU,47.0836922,8.2724424,94.1649,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
x2w8PY2fXbzEx1aYRyauxg,LU,47.0835083,8.2742245,86.3358,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
J2VTneRld_Y-9pid5wTXSQ,LU,47.0833058,8.2758531,103.548,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
5nYx3RXoLuQHm7OngbqPig,LU,47.0830342,8.2774619,104.473,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
i1KDCy-GbWkUWmqkQLOJ9A,LU,47.0827946,8.2791038,106.177,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
lnOtrlLuRijpAv1w_0v5ag,LU,47.0824811,8.2807359,104.773,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
fcjK_rCTpDTjMeVXlxVJCQ,LU,47.0822055,8.2823381,102.597,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
ETYuMMb9fhXKnHPtf6sZaw,LU,47.0819282,8.2839463,107.575,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
9NdrRROyF79hylMIQiHrVg,LU,47.0815529,8.2855452,109.989,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
Um8Mbe_52t-wCvbPS_oULA,LU,47.0810073,8.2870346,124.634,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
wB0BgtmGGpdQZsdtTqdO5g,LU,47.0803821,8.2884837,121.531,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
CGIv_SgHOELCSdb74d5wFQ,LU,47.0797031,8.28965,128.714,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
mIbvEyGiRj_T8eTloeQPuw,LU,47.0789021,8.2907554,141.533,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
VpGXKuy1dhsBHgxSwXYjlg,LU,47.0779721,8.2915425,145.581,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
JNHMvPUck8lPdDxOOWwkYA,LU,47.077125,8.2922847,153.16,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
